Ward name,Old code,New code,percent_with_households_owned,population_density_persons_per_sq_km,general_fertility_rate,employment_rate,crime_rate,average_public_transport_accessibility_score,average_gcse_capped_point_scores
Greenwich - Abbey Wood,00ALGP,E05000214,44.4,"5,722",86.1,63.6,77.6,3.1,301
Greenwich - Blackheath Westcombe,00ALGQ,E05000215,49.9,"6,048",59.0,75.5,76.6,3.4,327
Greenwich - Charlton,00ALGR,E05000216,41.7,"7,050",76.0,67.7,60.7,4.0,316
Greenwich - Coldharbour and New Eltham,00ALGS,E05000217,65.5,"5,180",59.6,70.7,58.1,2.9,319
Greenwich - Eltham North,00ALGT,E05000218,73.1,"4,789",55.3,75.1,67.2,2.9,339
Greenwich - Eltham South,00ALGU,E05000219,59.8,"2,717",49.9,64.9,75.9,3.3,352
Greenwich - Eltham West,00ALGW,E05000220,45.3,"4,667",64.7,64.0,59.9,3.1,311
Greenwich - Glyndon,00ALGX,E05000221,30.4,"10,441",89.1,62.5,60.9,4.0,317
Greenwich - Greenwich West,00ALGY,E05000222,32.0,"6,054",56.7,68.6,104.0,4.6,311
Greenwich - Kidbrooke with Hornfair,00ALGZ,E05000223,50.1,"5,854",64.9,67.3,70.3,2.6,313
Greenwich - Middle Park and Sutcliffe,00ALHA,E05000224,50.4,"4,046",67.6,65.6,64.4,2.3,329
Greenwich - Peninsula,00ALHB,E05000225,36.8,"4,156",46.6,74.2,107.6,4.5,303
Greenwich - Plumstead,00ALHC,E05000226,47.4,"6,854",81.0,63.9,78.7,3.6,306
Greenwich - Shooters Hill,00ALHD,E05000227,64.3,"3,487",69.3,69.5,46.3,2.4,320
Greenwich - Thamesmead Moorings,00ALHE,E05000228,32.7,"4,219",92.2,62.9,70.5,2.6,311
Greenwich - Woolwich Common,00ALHF,E05000229,21.9,"6,904",85.8,60.5,103.0,4.0,313
Greenwich - Woolwich Riverside,00ALHG,E05000230,19.0,"6,359",79.5,64.7,112.8,4.5,309
Hackney - Brownswood,00AMGA,E05000231,26.1,"15,188",45.1,72.0,87.3,6.1,295
Hackney - Cazenove,00AMGB,E05000232,25.7,"19,214",97.7,64.8,49.7,4.7,320
Hackney - Chatham,00AMGC,E05000233,20.3,"15,056",64.9,63.0,115.3,5.8,326
Hackney - Clissold,00AMGD,E05000234,37.0,"17,643",49.3,73.3,75.4,3.6,346
Hackney - Dalston,00AMGE,E05000235,23.1,"17,000",48.8,70.4,158.6,6.0,332
Hackney - De Beauvoir,00AMGF,E05000236,23.9,"16,000",51.5,71.1,147.9,4.9,315
Hackney - Hackney Central,00AMGG,E05000237,19.7,"16,000",53.2,66.6,114.6,6.7,328
Hackney - Hackney Downs,00AMGH,E05000238,24.4,"13,100",65.9,65.1,80.0,5.5,318
Hackney - Haggerston,00AMGJ,E05000239,16.1,"12,167",34.8,67.4,162.3,5.7,295
Hackney - Hoxton,00AMGK,E05000240,16.6,"19,750",40.0,62.7,127.2,5.8,323
Hackney - King's Park,00AMGL,E05000241,24.4,"6,306",77.2,57.6,68.0,2.9,321
Hackney - Leabridge,00AMGM,E05000242,30.0,"12,955",71.5,65.6,79.9,4.3,339
Hackney - Lordship,00AMGN,E05000243,28.8,"10,333",100.6,64.6,66.5,3.7,336
Hackney - New River,00AMGP,E05000244,19.8,"13,450",110.0,58.2,63.1,5.0,320
Hackney - Queensbridge,00AMGQ,E05000245,21.2,"12,727",49.9,67.7,116.8,4.8,294
Hackney - Springfield,00AMGR,E05000246,21.4,"12,500",127.5,53.8,73.7,3.2,332
Hackney - Stoke Newington Central,00AMGS,E05000247,33.3,"18,214",50.1,73.4,93.3,5.3,328
Hackney - Victoria,00AMGT,E05000248,23.9,"16,813",56.1,65.6,93.0,4.7,321
Hackney - Wick,00AMGU,E05000249,20.1,"7,500",49.9,60.4,99.8,3.9,311
Hammersmith and Fulham - Addison,00ANGA,E05000250,35.8,"19,083",50.9,76.2,107.4,6.5,331
Hammersmith and Fulham - Askew,00ANGB,E05000251,31.7,"17,563",59.3,71.8,75.4,3.6,313
Hammersmith and Fulham - Avonmore and Brook Green,00ANGC,E05000252,34.3,"13,722",37.6,69.5,70.5,6.0,343
Hammersmith and Fulham - College Park and Old Oak,00ANGD,E05000253,20.2,"2,897",58.1,62.6,115.7,4.9,317
Hammersmith and Fulham - Fulham Broadway,00ANGE,E05000254,28.3,"16,000",44.9,72.4,95.2,5.4,294
Hammersmith and Fulham - Fulham Reach,00ANGF,E05000255,34.5,"12,778",40.0,71.0,98.6,4.2,343
Hammersmith and Fulham - Hammersmith Broadway,00ANGG,E05000256,27.8,"10,955",40.6,69.9,224.9,6.0,325
Hammersmith and Fulham - Munster,00ANGH,E05000257,44.8,"18,250",50.9,76.7,64.5,3.7,280
Hammersmith and Fulham - North End,00ANGJ,E05000258,27.9,"20,083",35.1,72.7,64.6,5.2,300
Hammersmith and Fulham - Palace Riverside,00ANGK,E05000259,56.7,"5,000",51.1,74.3,90.8,3.7,309
Hammersmith and Fulham - Parsons Green and Walham,00ANGL,E05000260,47.9,"11,944",60.4,73.7,124.8,4.7,321
Hammersmith and Fulham - Ravenscourt Park,00ANGM,E05000261,42.7,"9,000",54.1,72.2,101.1,4.0,340
Hammersmith and Fulham - Sands End,00ANGN,E05000262,33.8,"9,321",51.4,69.3,69.6,3.4,321
Hammersmith and Fulham - Shepherd's Bush Green,00ANGP,E05000263,24.0,"11,318",47.7,72.0,281.4,5.6,332
Hammersmith and Fulham - Town,00ANGQ,E05000264,35.8,"15,929",41.7,76.4,100.7,4.6,334
Hammersmith and Fulham - Wormholt and White City,00ANGR,E05000265,26.0,"14,944",63.3,62.2,71.9,3.2,309
Haringey - Alexandra,00APGA,E05000266,65.7,"4,596",55.5,76.7,63.6,3.3,382
Haringey - Bounds Green,00APGB,E05000267,35.3,"10,036",55.7,69.0,82.0,4.9,335
Haringey - Bruce Grove,00APGC,E05000268,35.9,"16,389",75.3,61.8,85.2,4.5,299
Haringey - Crouch End,00APGD,E05000269,50.6,"8,964",61.6,80.9,67.3,3.4,366
Haringey - Fortis Green,00APGE,E05000270,53.6,"6,400",54.5,75.9,57.9,3.1,375
Haringey - Harringay,00APGF,E05000271,38.1,"8,563",58.3,71.8,89.5,5.3,303
Haringey - Highgate,00APGG,E05000272,49.4,"4,740",46.0,79.0,56.6,4.0,316
